brand,milage,fuel_type,transmission,accident,clean_title,price,Age,price_category,Horsepower,Engine_Displacement,base_model
5,2600.0,3,1,0,1,239995.0,1,2,332.2838386995936,4.0,95
26,6204.0,4,1,0,0,79998.0,1,2,332.2838386995936,3.0,308
24,69185.0,3,1,0,0,37405.0,4,1,332.2838386995936,3.8,302
32,45000.0,3,1,0,1,41900.0,9,1,454.0,4.7,346
4,37426.0,3,1,0,0,39998.0,4,1,332.2838386995936,2.0,61
20,137000.0,3,1,1,1,8500.0,13,0,420.0,5.6,257
34,85000.0,7,1,1,1,18500.0,8,0,332.2838386995936,0.0,359
9,4000.0,3,1,1,1,73900.0,1,2,490.0,6.2,135
3,4648.0,4,1,0,0,47598.0,1,1,332.2838386995936,2.0,22
27,52100.0,3,1,0,1,38000.0,6,1,301.0,4.6,312
4,50100.0,3,1,0,1,10795.0,10,0,240.0,2.0,83
1,41000.0,3,1,0,1,32400.0,4,1,280.0,2.0,12
44,70968.0,3,1,0,1,34000.0,3,1,395.0,5.7,444
4,26600.0,3,1,0,1,53000.0,9,2,425.0,3.0,75
55,95000.0,3,1,0,1,18000.0,6,0,250.0,2.0,518
50,94000.0,3,2,0,1,19500.0,19,0,300.0,2.5,465
4,45076.0,3,1,0,0,57998.0,4,2,332.2838386995936,3.0,88
8,110000.0,3,1,0,1,11000.0,10,0,272.0,2.0,115
26,49083.0,3,1,0,0,21590.0,8,1,332.2838386995936,2.0,308
16,63500.0,3,1,0,1,27500.0,7,1,420.0,5.0,222
36,21500.0,3,1,1,1,18000.0,15,0,268.0,3.5,371
26,324.0,3,1,0,0,199998.0,1,2,332.2838386995936,4.4,308
24,68166.0,3,1,0,0,20818.0,5,1,332.2838386995936,1.6,296
53,53607.0,3,1,1,0,31853.0,6,1,332.2838386995936,3.5,481
36,16813.0,0,1,0,0,45900.0,5,1,188.0,3.0,395
4,18200.0,3,1,1,1,29500.0,4,1,228.0,2.0,83
3,16400.0,3,1,0,1,42800.0,6,1,292.0,2.0,27
53,7000.0,4,1,0,1,75500.0,2,2,437.0,3.4,491
3,8497.0,3,1,0,0,52900.0,2,2,332.2838386995936,3.0,33
3,68000.0,3,1,1,1,20000.0,8,1,252.0,2.0,17
25,2523.0,3,2,0,0,288900.0,2,2,332.2838386995936,5.2,305
4,83000.0,3,1,0,1,8995.0,17,0,230.0,3.0,47
3,25000.0,3,1,0,1,50000.0,6,1,354.0,3.0,33
8,15689.0,0,1,0,0,97952.0,3,2,332.2838386995936,3.0,119
4,125450.0,3,2,0,1,17200.0,10,0,320.0,3.0,71
24,9822.0,3,1,0,0,50998.0,1,2,332.2838386995936,3.8,302
9,144000.0,3,1,0,1,22000.0,16,1,323.0,6.0,138
15,30900.0,3,1,0,1,27654.0,4,1,332.2838386995936,2.5,212
4,2492.0,3,1,0,0,41598.0,3,1,332.2838386995936,2.0,85
3,126760.0,3,1,1,1,14000.0,9,0,211.0,2.0,36
50,100680.0,3,1,0,1,20500.0,7,1,256.0,3.6,467
19,26895.0,3,1,0,0,29800.0,2,1,332.2838386995936,2.5,248
11,134000.0,3,1,1,1,10500.0,13,0,390.0,5.7,168
14,84352.0,5,3,1,1,10000.0,9,0,188.0,2.0,200
53,19000.0,4,1,0,1,71000.0,2,2,437.0,3.4,491
26,115550.0,3,1,0,1,17500.0,9,0,240.0,2.0,308
